Country,year,AverageTemperature
Afghanistan,1992,14.056083333333333
Afghanistan,1993,14.439249999999996
Afghanistan,1994,14.75475
Afghanistan,1995,14.859166666666667
Afghanistan,1996,14.426000000000002
Afghanistan,1997,14.904000000000002
Afghanistan,1998,15.1325
Afghanistan,1999,15.38875
Afghanistan,2000,15.497833333333334
Afghanistan,2001,15.778083333333333
Afghanistan,2002,15.537666666666668
Afghanistan,2003,14.916000000000002
Afghanistan,2004,15.77091666666667
Afghanistan,2005,14.979999999999999
Afghanistan,2006,15.595583333333332
Afghanistan,2007,15.106166666666669
Afghanistan,2008,15.216500000000002
Afghanistan,2009,15.257749999999996
Afghanistan,2010,15.828666666666669
Afghanistan,2011,15.518
Afghanistan,2012,14.481583333333333
Africa,1992,24.33541666666667
Africa,1993,24.538666666666668
Africa,1994,24.43875
Africa,1995,24.718416666666666
Africa,1996,24.634500000000003
Africa,1997,24.706833333333336
Africa,1998,25.0205
Africa,1999,24.743749999999995
Africa,2000,24.588083333333334
Africa,2001,24.841166666666666
Africa,2002,24.961333333333332
Africa,2003,25.02558333333333
Africa,2004,24.895916666666665
Africa,2005,25.156166666666664
Africa,2006,24.818916666666667
Africa,2007,24.851499999999998
Africa,2008,24.75466666666667
Africa,2009,25.0265
Africa,2010,25.4725
Africa,2011,24.7865
Africa,2012,24.725916666666667
Albania,1992,13.084666666666665
Albania,1993,13.122583333333337
Albania,1994,14.09966666666667
Albania,1995,12.782083333333334
Albania,1996,12.7365
Albania,1997,12.900916666666667
Albania,1998,13.311250000000003
Albania,1999,13.65375
Albania,2000,13.746583333333335
Albania,2001,13.690416666666666
Albania,2002,13.559916666666668
Albania,2003,13.62658333333333
Albania,2004,13.258166666666666
Albania,2005,12.747083333333334
Albania,2006,12.976916666666668
Albania,2007,13.890500000000001
Albania,2008,13.955166666666665
Albania,2009,13.84425
Albania,2010,13.775416666666667
Albania,2011,13.443250000000004
Albania,2012,13.76825
Algeria,1992,22.767
Algeria,1993,23.450833333333335
Algeria,1994,23.642083333333332
Algeria,1995,23.7225
Algeria,1996,23.734333333333336
Algeria,1997,23.955166666666667
Algeria,1998,23.92058333333333
Algeria,1999,24.299416666666662
Algeria,2000,24.032249999999994
Algeria,2001,24.724416666666666
Algeria,2002,24.263000000000005
Algeria,2003,24.393666666666665
Algeria,2004,23.916000000000007
Algeria,2005,24.222583333333333
Algeria,2006,24.200833333333335
Algeria,2007,24.06533333333334
Algeria,2008,23.95025
Algeria,2009,24.15433333333333
Algeria,2010,25.215666666666664
Algeria,2011,24.144166666666667
Algeria,2012,23.95483333333333
American Samoa,1992,27.072000000000003
American Samoa,1993,26.81641666666667
American Samoa,1994,26.986333333333324
American Samoa,1995,27.26866666666667
American Samoa,1996,27.11266666666667
American Samoa,1997,26.95575
American Samoa,1998,27.424833333333336
American Samoa,1999,27.067166666666665
American Samoa,2000,27.21983333333333
American Samoa,2001,27.22758333333334
